pack,variant,obs_name,bmin,mag_num,amp_pred,proj_meas
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.014332094764291373,0.014972478174770286
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.014332094764291373,0.015432814652456873
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.014332094764291373,0.01135315471312321
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.014332094764291373,0.011455964361737195
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.014332094764291373,0.010356275328517376
wagenveld,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.014332094764291373,0.010192390803968408
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.01701483272025586,0.0165772162723238
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.01701483272025586,0.01936175596840744
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01701483272025586,0.018737125218568813
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01701483272025586,0.01613617779081523
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01701483272025586,0.016058085587187763
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01701483272025586,0.014588990505070575
wagenveld,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01701483272025586,0.015576016344857616
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01701483272025586,0.022737873762563796
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01701483272025586,0.016600098784328422
wagenveld,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01701483272025586,0.01985697358642347
