group,obs_name,bmin,mag_num,amp_pred,proj_meas
wagenveld-baseline,Quaia_maskscan_G20.5_bmin25,25.0,,0.01889243108827826,0.02092788318599209
wagenveld-baseline,Quaia_maskscan_G20.5_bmin30,30.0,,0.015501791028314841,0.018097045144495626
wagenveld-baseline,Quaia_maskscan_G20.5_bmin35,35.0,,0.01211115096835142,0.016377919960944495
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,0.015501791028314841,0.015869915936180257
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,0.015501791028314841,0.016305369900237295
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,0.015501791028314841,0.012373337924630006
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,0.015501791028314841,0.012321780195780114
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,0.015501791028314841,0.01126800539184051
wagenveld-baseline,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,0.015501791028314841,0.011041152637310354
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,0.01830786147036464,0.017674253628023537
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,0.01830786147036464,0.02038192682994304
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,0.01830786147036464,0.0197559498287213
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,0.01830786147036464,0.01714344221476738
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,0.01830786147036464,0.017077678135255146
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,0.01830786147036464,0.01556335541281651
wagenveld-baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,0.01830786147036464,0.016598665048306125
wagenveld-baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,0.01830786147036464,0.024263271476645195
wagenveld-baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,0.01830786147036464,0.01782485003020038
wagenveld-baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,0.01830786147036464,0.02073030945811099
