pack,variant,model,template,drop,g_l,g_b,dAICc,chi2,aicc,success,s_l,s_b,gamma
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p5_3p0,244.34103945019547,33.07706129711043,-21.254676208952787,22.889126014825337,45.38912601482534,True,257.65101190630213,30.30742999590673,0.0028207522521675275
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,CatWISE_W1lt16p5,307.55956040543447,55.684282179935636,-27.734230493061673,3.532051540945742,26.032051540945744,True,15.398286323912828,32.665799988699355,0.017998732900792066
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,LoTSS_DR2,305.2456534585127,56.83373449538935,-50.965471444220164,3.528952487929749,26.02895248792975,True,10.446001279269467,34.724626698393614,0.019877072428633364
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,NVSS,306.05032619542203,57.20577396040257,-48.549985092543466,3.865101314186973,26.365101314186973,True,10.090682977852623,34.52661687193057,0.01970934394081467
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_0p6_1p0,277.2100335083974,52.5628809474549,-55.12089516041955,3.262338200538394,25.762338200538395,True,8.121549711177295,36.46266190808878,0.020474278406279193
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p0_1p5,266.8367246854742,51.208889738884565,-50.92549836719105,2.4301405448801408,24.93014054488014,True,6.885680045490744,40.728094307289226,0.01845470739548126
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p5_3p0,277.44812535564637,51.705553509485384,-42.194487679905926,1.9493145438721993,24.449314543872198,True,16.365397837165574,26.28632711168276,0.01907979636222579
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,CatWISE_W1lt16p5,321.0103838576857,55.27452321975907,-27.537903526331334,18.046560325857904,26.228378507676084,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,LoTSS_DR2,256.10856763743834,43.86719715298092,-28.643753795028232,40.1688519553035,48.35067013712168,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,NVSS,260.35763160370834,47.22085636939549,-27.766824951808623,38.966443273103636,47.148261454921816,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_0p6_1p0,251.65887979052718,40.30986676074468,-35.23412862000604,37.467286559133726,45.649104740951906,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p0_1p5,245.5889701120053,37.23258377388298,-40.33942238553885,27.334398344714153,35.51621652653233,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p5_3p0,244.55080501380849,34.50108932827336,-34.57830804167615,23.88367600028379,32.06549418210197,True,,,
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,CatWISE_W1lt16p5,307.55956062472035,55.684282004004395,-27.73423049306167,3.532051540945748,26.032051540945748,True,195.39828634567093,-32.66580046814727,0.01799873301020795
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,LoTSS_DR2,252.8726775163596,41.064989175788625,-16.12517496423294,38.369248967916974,60.869248967916974,True,216.58028497506467,-15.511625786968228,0.005826146635462625
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,NVSS,255.3375981136533,44.1284643082175,-13.717713019737687,38.69737338699275,61.19737338699275,True,215.1476978976918,-6.470775888913364,0.003564591362806096
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_0p6_1p0,245.10572295094715,33.400689251653795,-22.76124245319882,35.62199090775913,58.12199090775913,True,217.48985591637353,-12.535487237701275,0.0049991391490064934
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p0_1p5,242.81998807002532,32.75048012578175,-26.851296442411638,26.504342469659544,49.00434246965955,True,224.28327569547253,-14.06421460531108,0.0033512877283680877
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,radio,Quaia_G<20.0_pmSig_lt2_1p5_3p0,244.34103945019547,33.07706129711043,-21.254676208952787,22.889126014825337,45.38912601482534,True,257.65101190630213,30.30742999590673,0.0028207522521675275
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,CatWISE_W1lt16p5,307.55956040543447,55.684282179935636,-27.734230493061673,3.532051540945742,26.032051540945744,True,15.398286323912828,32.665799988699355,0.017998732900792066
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,LoTSS_DR2,305.2456534585127,56.83373449538935,-50.965471444220164,3.528952487929749,26.02895248792975,True,10.446001279269467,34.724626698393614,0.019877072428633364
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,NVSS,306.05032619542203,57.20577396040257,-48.549985092543466,3.865101314186973,26.365101314186973,True,10.090682977852623,34.52661687193057,0.01970934394081467
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_0p6_1p0,277.2100335083974,52.5628809474549,-55.12089516041955,3.262338200538394,25.762338200538395,True,8.121549711177295,36.46266190808878,0.020474278406279193
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p0_1p5,266.8367246854742,51.208889738884565,-50.92549836719105,2.4301405448801408,24.93014054488014,True,6.885680045490744,40.728094307289226,0.01845470739548126
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,BAO_P1+SYS,quaia,Quaia_G<20.0_pmSig_lt2_1p5_3p0,277.44812535564637,51.705553509485384,-42.194487679905926,1.9493145438721993,24.449314543872198,True,16.365397837165574,26.28632711168276,0.01907979636222579
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,NVSS,268.5047479209379,54.46130269483409,-36.11011005136617,41.71417376272865,49.89599194454683,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,RACS_low,255.638899385335,43.64111027024213,-31.055829588579442,39.77528446055069,47.957102642368866,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,CatWISE_W1lt16p5,317.24609373758364,58.586212595766014,-38.76926660632206,19.48900412969592,27.6708223115141,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_0p6_1p0,258.9874706749215,48.98786409118999,-44.34612893764524,41.24695162739938,49.42876980921756,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p0_1p5,252.53514437897365,46.61825594322731,-48.47873610068556,32.086750015472305,40.268568197290485,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1,-,Quaia_G<20.0_pmSig_lt2_1p5_3p0,252.44995672496606,45.51940296292575,-42.3452344675761,29.008414960288704,37.190233142106884,True,,,
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,BAO_P1+SYS,radio,NVSS,267.91715862674573,54.767284611683166,-24.122375514501,39.383726481412,61.883726481412,True,40.26204489525793,40.035589848222,0.0054657368007490085
