pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,w_bao,proj_residual_on_s,amp_pred
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,0.03291707161611928,0.02155722520571198,0.019519542245315703
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,0.03291707161611928,0.018941577277210363,0.019975084782237886
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,0.03291707161611928,0.018876954658625246,0.01987501239057775
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,0.03291707161611928,0.017349469259912965,0.016841303954845576
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,0.03291707161611928,0.018399184249853186,0.0188086019547916
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,0.05179932080859573,0.02707597950064367,0.02454048264749158
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,0.03776028513879305,0.019926341099340696,0.023548702952634937
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,0.02793662036191585,0.022258520731308025,0.021761687888525005
wagenveld,baseline,NVSS,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,-0.0002893251828542414,0.0
wagenveld,baseline,RACS_low,0,nonquaia,pack,,,,,0,1.0,0.04449383069146858,0.00909056325899826,0.0
wagenveld,baseline,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.03906009838169246,-0.0037815707639880223,0.0
