pack,variant,obs_name,is_quaia,group,source,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,proj1_meas,proj2_meas,amp1_pred,amp2_pred
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,-0.012906954109423377,0.0021611620096452207,-0.015411961866998758,0.0016512134289722678
boehme,2MRS_clean,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,-0.012488105393723192,0.0043076071894169255,-0.012465480736094008,0.004496567678327498
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,-0.01983750467246135,-0.0038083847225549843,-0.020263139915777842,-0.003147622933759694
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,-0.02227902552468791,-0.000801557818816444,-0.020615106041794732,-0.0017962431023801552
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.0216695203970807,-0.0009066176300321135,-0.020545795004783898,-0.0014134905300450037
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,-0.019029232356199268,-0.0007450896231757159,-0.02077376134555047,-0.0010248650436065982
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.019027225941572145,-0.00130578270825562,-0.020704450308539634,-0.0006421124712714466
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,-0.017350823389016983,0.00025556211687714596,-0.017282003266367675,-0.00011089239823688793
boehme,2MRS_clean,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,-0.01856076375938691,-0.0014634150085377304,-0.020228484397272425,-0.002956246647592118
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,-0.027018721403625757,0.0008242149964063751,-0.024889657886956882,-0.0023583902783128052
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,-0.020140436510903543,-0.0030774416420734025,-0.02393826612449931,-0.0010777509628067839
boehme,2MRS_clean,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,-0.022380727610898623,-0.000766535652359613,-0.022224023112468773,0.0012297390577783727
wagenveld,baseline,NVSS,0,nonquaia,pack,,,,,0,1.0,0.0003956547437248243,0.0008453425413123615,-0.0,0.0
wagenveld,baseline,RACS_low,0,nonquaia,pack,,,,,0,1.0,-0.009189489913425103,-0.0012452379409598697,-0.0,0.0
wagenveld,baseline,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.0037341532588391862,-0.0010976601989047229,-0.0,0.0
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,-0.01346541835054096,0.00019842857383988713,-0.01626654175138023,0.0006947129965880718
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,-0.017651538619127473,0.0019236003200781113,-0.015843857936701733,0.0020007385406262375
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,-0.014854264695620869,0.005948684659218389,-0.015073688112749818,0.004380440408542921
wagenveld,baseline,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,-0.01826579706327524,0.007171148954086558,-0.020125628462612663,0.004787554056902853
wagenveld,baseline,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,-0.01566488503542385,0.005002763275590847,-0.017855070091974252,0.003794815510897865
wagenveld,baseline,Quaia_maskscan_G20.0_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.529037594795227,-0.011811384496211712,0.003579156508986604,-0.015585510163491495,0.002798991937943064
wagenveld,baseline,Quaia_maskscan_G20.0_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.531247854232788,-0.010395360489395808,0.00161818634977638,-0.01331688713092447,0.0018002735060995187
wagenveld,baseline,Quaia_maskscan_G20.5_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5471723079681396,-0.023797925535013427,0.0033622874014233592,-0.020101151443064562,0.004863184141759688
wagenveld,baseline,Quaia_maskscan_G20.5_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.5523033142089844,-0.020209627224941816,0.0015739247658827053,-0.017829730739951363,0.0038731100655082385
wagenveld,baseline,Quaia_maskscan_G20.5_bmin30,1,quaia_maskscan,maskscan,30.0,,,,0,1.55604088306427,-0.017483990261786313,4.388221929354022e-05,-0.015559644756686915,0.0028789119178917015
wagenveld,baseline,Quaia_maskscan_G20.5_bmin35,1,quaia_maskscan,maskscan,35.0,,,,0,1.5588762760162354,-0.015804058226200214,-0.0007791824839598347,-0.013290422932872834,0.0018820436554585868
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,1.0,0,1.529037594795227,-0.014978389419969365,0.003161174288839423,-0.0132959498041262,0.0030886356269111724
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.0,2.0,,0,1.529037594795227,-0.015336478252557621,0.004016311345924831,-0.01337615823284237,0.002742505889632433
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,0.5,0,1.529037594795227,-0.011863773979356838,-0.001398584448845368,-0.013027043265523104,0.0013756007747900538
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.0,3.0,,0,1.529037594795227,-0.011350856427439581,0.0037556964289709445,-0.01353066360932296,0.0035124908813733077
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,1.0,0,1.529037594795227,-0.010438339123000802,0.002066969382710562,-0.01298693905116502,0.0015486656434294235
wagenveld,baseline,Quaia_pmcut_G20.0_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.0,,,1,1.529037594795227,-0.010026664402329168,0.00421846376828782,-0.010022814768951876,0.0044069183237137035
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,0.5,0,1.55604088306427,-0.01740100748584823,-0.003893578539478996,-0.017832279689787938,-0.003212284746807213
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,,0,1.55604088306427,-0.019870727502739605,-0.0008654650734200619,-0.018181394657107205,-0.001845379631964834
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,1,quaia_pmcut,quaia_pmcut,30.0,20.5,2.0,1.0,0,1.55604088306427,-0.019240744725926198,-0.0009828459340791313,-0.018101186228391034,-0.0014992498946860941
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,,0,1.55604088306427,-0.01660867122522063,-0.0008201850685796812,-0.018335900033587794,-0.0010753946402239595
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,1,quaia_pmcut,quaia_pmcut,30.0,20.5,3.0,1.0,0,1.55604088306427,-0.01657485427294257,-0.0013990399697112778,-0.018255691604871623,-0.0007292649029452195
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_none,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,,1,1.55604088306427,-0.01494060896600068,0.00018472008772265486,-0.014828051193216712,-0.00018096719788356324
wagenveld,baseline,Quaia_pmcut_G20.5_bmin30_pm_tot<1,1,quaia_pmcut,quaia_pmcut,30.0,20.5,,1.0,0,1.55604088306427,-0.016107209904977937,-0.0015580806073070058,-0.017792175475429852,-0.0030392198781678433
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z0p6p1p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,0.8184481912564778,-0.023267605847753798,0.0007359040297305972,-0.02140626888996335,-0.0024319315565449378
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p0p1p5,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,1.2607082545033923,-0.017438641985261856,-0.0031257709053551016,-0.020982645058105258,-0.001123001509410741
wagenveld,baseline,Quaia_G20.5_pmSiglt2_z1p5p3p0,1,quaia_zbin_G20.5,quaia_zbin_G20.5,30.0,20.5,2.0,,0,2.057584213322741,-0.020294371839261898,-0.0008398086421119574,-0.02021934835726304,0.0012354635047706973
wagenveld,2MRS_clean,NVSS,0,nonquaia,pack,,,,,0,1.0,0.0003149219264029024,6.110472540093136e-05,-0.0,0.0
wagenveld,2MRS_clean,RACS_low,0,nonquaia,pack,,,,,0,1.0,-0.00912970382531177,-0.0027153353482009934,-0.0,0.0
wagenveld,2MRS_clean,CatWISE_W1lt16p5,0,nonquaia,pack,,,,,0,1.2,0.004077537713157084,-0.00037313087718031596,-0.0,0.0
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_0p6_1p0,1,quaia_bin,pack,,,,,0,0.8180457891365732,-0.013042044427627101,0.00042360829823563087,-0.01593644673026178,0.0007861298576591147
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p0_1p5,1,quaia_bin,pack,,,,,0,1.2593244815869629,-0.017383206175664433,0.0017843523537843776,-0.015615985357814251,0.001983062730397494
wagenveld,2MRS_clean,Quaia_G<20.0_pmSig_lt2_1p5_3p0,1,quaia_bin,pack,,,,,0,2.063375928734873,-0.014884125541079745,0.00573998665705324,-0.015032074476369619,0.004163987449694689
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin20,1,quaia_maskscan,maskscan,20.0,,,,0,1.5216184854507446,-0.018258126559383213,0.006929303545843403,-0.01996341053613833,0.004524881062480938
wagenveld,2MRS_clean,Quaia_maskscan_G20.0_bmin25,1,quaia_maskscan,maskscan,25.0,,,,0,1.525849223136902,-0.01558851048591514,0.004857067499053089,-0.017691385164195095,0.003621173099574751
