pack,variant,obs_name,group,is_quaia,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,c1,w_bao
wagenveld,baseline,RACS_low,nonquaia,0,,,,,0,1.0,0.0,0.04449383069146858
wagenveld,baseline,CatWISE_W1lt16p5,nonquaia,0,,,,,0,1.2,0.0,0.03906009838169246
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_0p6_1p0,quaia_bin,1,,,,,0,0.8180457891365732,-0.012240068852459186,0.05181921011829311
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p0_1p5,quaia_bin,1,,,,,0,1.2593244815869629,-0.017000299479620076,0.037788479366085766
wagenveld,baseline,Quaia_G<20.0_pmSig_lt2_1p5_3p0,quaia_bin,1,,,,,0,2.063375928734873,-0.014060913776926242,0.027893503000458914
wagenveld,baseline,Quaia_maskscan_G20.0_bmin20,quaia_maskscan,1,20.0,,,,0,1.5216184854507446,-0.017743501061503405,0.03338237692235073
wagenveld,baseline,Quaia_maskscan_G20.0_bmin25,quaia_maskscan,1,25.0,,,,0,1.525849223136902,-0.014938474255406389,0.03332402739686681
wagenveld,baseline,Quaia_maskscan_G20.0_bmin30,quaia_maskscan,1,30.0,,,,0,1.529037594795227,-0.010825858456019587,0.03328027277260123
wagenveld,baseline,Quaia_maskscan_G20.0_bmin35,quaia_maskscan,1,35.0,,,,0,1.531247854232788,-0.009045309151543265,0.033250050621271635
wagenveld,baseline,Quaia_maskscan_G20.5_bmin20,quaia_maskscan,1,20.0,,,,0,1.5471723079681396,-0.02342936321194513,0.03303492283183039
wagenveld,baseline,Quaia_maskscan_G20.5_bmin25,quaia_maskscan,1,25.0,,,,0,1.5523033142089844,-0.01949650387755014,0.032966570487085095
wagenveld,baseline,Quaia_maskscan_G20.5_bmin30,quaia_maskscan,1,30.0,,,,0,1.55604088306427,-0.01642540780999701,0.03291707161611928
wagenveld,baseline,Quaia_maskscan_G20.5_bmin35,quaia_maskscan,1,35.0,,,,0,1.5588762760162354,-0.014289283797349065,0.032879683102633325
