pack,variant,scenario,N,dAICc,g_l,g_b,ang_to_CMB,beta,loo_mean_ang,loo_std_ang
wagen_base,2MRS_clean,no_quaia,3,-34.26160918120687,237.3116090149287,36.998337104493075,22.477825442383633,0.20367107967318465,,
wagen_base,2MRS_clean,quaia_std_G20p5_b20_selcorr,4,-113.51604437369497,312.9508964744639,53.91061554205373,30.616786124911368,0.2996590993417759,20.629781116698084,23.61517737381537
wagen_base,2MRS_clean,quaia_b30_debias,4,-46.40278549980164,247.27582619171847,48.251314966968145,11.12767491569152,0.21754034857048446,15.553153790559785,12.990575229806874
wagen_base,2MRS_clean,quaia_conservative_sys,4,-45.335305166696294,257.28767586508934,48.01278181939543,4.498822807970737,0.2171532262482829,17.23138279461412,13.989171337376535
wagen_base,2MRS_clean,quaia_maskscan_bmin20,4,-46.12570713784493,258.10302788411667,48.27202684936912,3.93877510962309,0.2186352189602806,17.266266876974257,13.945443013928195
wagen_base,2MRS_clean,quaia_maskscan_bmin25,4,-46.08490052621565,252.5517805262109,48.28825749861346,7.627033129536595,0.2175488046577495,16.331356920080808,13.449711733399718
wagen_base,2MRS_clean,quaia_maskscan_bmin30,4,-46.4062383800759,247.2779952309153,48.25322361468438,11.126030852412697,0.21754579188041684,15.55311944629922,12.990168177950228
wagen_base,2MRS_clean,quaia_std_G20p5_b20_selcorr_sigma90,4,-38.97857027859307,244.87421802287565,42.05198352969171,14.805509276785,0.20743239825663273,15.785908957812824,14.8324981494055
wagen_base,2MRS_clean,quaia_b30_debias_sigma90,4,-41.18855490066766,241.95557781110375,42.81384190959845,16.317009210052106,0.21134232503637446,14.910452120945209,14.047018352809415
wagen_base,2MRS_clean,quaia_conservative_sys_sigma90,4,-38.73135880858182,244.4060243001552,41.7704092091448,15.249754966771654,0.20702437207121788,15.726729296601249,14.915917157861598
wagen_base,2MRS_clean,quaia_maskscan_bmin20_sigma90,4,-39.10408163258018,244.89410618152226,42.044216133776494,14.796925996927836,0.20774995706441893,15.787867434624495,14.82971257648426
wagen_base,2MRS_clean,quaia_maskscan_bmin25_sigma90,4,-40.19240946279486,243.7914427896111,42.5400038256859,15.25367307707906,0.209630837085016,15.35572584470491,14.402459817678848
wagen_base,2MRS_clean,quaia_maskscan_bmin30_sigma90,4,-41.188829213232786,241.95577717817645,42.814069226154245,16.316775494202926,0.2113427666482453,14.910460747616408,14.046938645339061
boehme_zbins_G20p0_pmSig2,baseline,zbins_default,6,-36.91269431087952,256.802034075189,44.55624636866349,6.196080022456993,0.1991031940405574,12.71677530730602,14.759257369127733
boehme_zbins_G20p0_pmSig2,baseline,zbins_sigma90,6,-50.89482319334834,245.00433185784576,35.71012771677472,18.803937838143142,0.24185828466894294,9.108516714767983,12.80128931768322
boehme_zbins_G20p0_pmSig2,2MRS_clean,zbins_default,6,-36.91269431087952,256.802034075189,44.55624636866349,6.196080022456993,0.1991031940405574,12.71677530730602,14.759257369127733
boehme_zbins_G20p0_pmSig2,2MRS_clean,zbins_sigma90,6,-50.89482319334834,245.00433185784576,35.71012771677472,18.803937838143142,0.24185828466894294,9.108516714767983,12.80128931768322
wagen_zbins_G20p0_pmSig2,baseline,zbins_default,6,-47.7711070382691,263.7038356575189,51.24766878519475,3.001663901346501,0.2056096778759392,10.853844572062153,10.064480464482333
wagen_zbins_G20p0_pmSig2,baseline,zbins_sigma90,6,-59.425100859111375,251.4636156744241,44.7138610146756,9.328889445303883,0.23402460295332006,8.67292891241528,9.858373631109107
wagen_zbins_G20p0_pmSig2,2MRS_clean,zbins_default,6,-40.92799438536846,263.78258673459817,52.898483658373365,4.647942974593001,0.19306424216874243,11.480765837179314,11.029352290988953
wagen_zbins_G20p0_pmSig2,2MRS_clean,zbins_sigma90,6,-51.384554911127104,250.95943201457862,46.51364803667096,9.001567593389467,0.21997841278476243,9.577284410103417,11.434689420543634
